Annual_Revenue,Loan_Amount,GST_Billing,Repayment_History,Credit_Score,Credit_Utilization_Ratio,Credit_Age
15660818,4183270,81,1,700,59.86385014620463,13
16530288,2840858,84,0,795,36.471841988211935,18
2237095,612154,94,0,367,15.08466802288189,1
10999746,2749538,74,0,629,34.878585737252976,16
5280450,825352,84,0,458,36.014665762139764,13
19387034,1078255,77,0,881,68.36849426704512,10
16529444,1936744,79,0,795,61.00459770841705,12
19509001,3617135,95,0,885,80.97701940610612,30
11836697,2466407,85,1,507,47.777194012955945,2
4353339,498335,77,1,300,19.567539675064136,23
16513446,1400984,70,0,795,67.0595829778396,3
18273323,4727903,81,0,848,70.8628038893518,10
12410049,3674622,74,0,672,54.9021758055597,2
7630144,1384280,72,0,528,71.67737439636488,30
5045583,468834,70,0,451,49.50364770915126,27
16093974,1900325,73,0,782,51.818626350559526,23
8488004,463425,77,0,554,44.20328146868397,13
13572482,3780950,72,1,596,12.033530139527615,13
6015989,477896,79,0,480,18.631314159464356,18
19398906,3765892,71,0,881,12.51433485493874,3
15381728,1822947,80,0,761,60.91283290110243,27
991234,186891,94,0,329,35.148478486106136,7
10836868,2306682,79,0,625,50.685655293176225,14
13222094,3403835,90,0,696,82.60531791408744,20
10409709,1057681,83,0,612,29.943378331909997,29
13266976,699819,76,0,698,42.830633842850375,30
13296932,1119886,96,1,549,70.4440910834439,17
7414550,2039035,96,1,466,28.303853239329797,29
7406726,1988502,71,0,522,16.158392786303438,30
6388794,1273627,78,0,491,33.180116233101444,21
7010425,1402990,85,0,510,22.897702980320354,12
9011017,1948715,82,0,570,84.37581218740584,25
8387739,787129,78,0,551,74.64963036515336,16
1269598,353713,89,0,338,60.67230052083388,24
15952902,2467796,73,0,778,79.71684721501742,12
8471379,1234996,91,0,554,74.29376615192916,15
3831068,688555,79,0,414,24.925604710882865,25
3756415,231926,95,1,356,81.40471987919823,10
1374371,125852,95,1,300,53.147379353252056,30
6154237,1443220,91,1,401,74.595212413125,25
12761606,902241,81,0,682,81.68730399387945,7
18250764,3664534,86,1,792,35.44027799774911,20
3844014,427982,83,0,415,18.80415396221414,5
10102083,1488278,83,1,420,28.234813003355335,1
3459034,422602,94,0,403,44.1686230901005,30
543585,75513,71,1,300,75.44118127379944,17
15244108,3502508,90,0,757,78.85844666050747,3
3039448,377743,94,1,300,10.556170442495256,13
17386772,3331325,89,1,746,50.85978420620526,14
18852773,3186356,80,0,865,43.39288025190232,24
15143995,3269857,85,0,754,27.76862483765842,30
11011699,3129606,88,1,455,19.589229386694626,18
8806461,2053164,100,0,564,37.00921371229023,4
2509021,260273,92,1,300,85.43277631300154,18
1701482,98338,75,0,351,35.856234561660415,30
17819551,2059334,93,0,834,51.50324973946929,5
12322585,2449353,88,0,669,66.24151671161422,25
2984413,187589,74,0,389,39.09036819034352,16
3407360,593192,95,1,300,87.74256661767686,1
6395544,1274060,73,0,491,86.99578359536889,21
2735000,365289,84,0,382,30.142583666029132,14
4822252,1170495,98,0,444,49.77988047139084,15
6322184,484592,73,0,489,34.07026478534157,9
902690,62091,89,1,300,32.78723955019741,15
3048421,707377,79,1,300,12.950955788362624,17
13104871,2278580,93,0,693,58.76514671839175,25
12695226,2819617,91,1,494,50.21432185830892,24
14881704,2361828,72,1,588,14.118300099999148,4
2454109,273879,95,0,373,32.29171713892892,12
14921668,3801676,74,1,642,82.6612708773323,27
12001362,2998587,75,0,660,29.164951253357792,26
16766473,3750226,90,0,802,21.591589767297847,5
7705547,909534,91,1,351,49.15622082220504,29
8823735,1743196,77,0,564,88.85203632884806,5
18661466,2617148,76,1,803,29.364421720920035,11
12914325,941396,90,1,611,63.77084379247029,28
561087,156727,79,0,316,70.9295692262974,6
14096255,1186970,75,1,586,29.011003519391974,7
15165175,4360887,83,0,754,68.25730788894876,24
18773392,3031929,73,0,863,39.422650617540256,14
10774621,1037415,97,0,623,60.584466447486356,24
13522704,2508126,94,1,614,60.68237686087158,11
17316569,4644935,82,0,819,52.86197472598068,30
6984531,1627788,89,0,509,17.223181604352664,13
8154909,2052103,86,0,544,76.82419964713904,2
4759622,1021871,92,1,300,35.66240519773886,25
6225570,1388732,76,0,486,24.92148083198834,7
17694096,4641142,73,0,830,13.262011324381113,20
15921040,1789795,98,0,777,57.27143545505935,4
5465050,941935,83,0,463,64.2051489473826,27
1313168,138279,72,1,300,11.327026314228492,8
725281,215348,93,0,321,50.96744466394248,20
12006305,3433981,74,0,660,28.119662015835036,29
8234102,492866,85,1,437,61.61382323275599,22
6174719,1397918,95,0,485,23.949314320399317,21
9158144,2576296,92,1,508,65.27501904819728,19
7109280,676404,89,0,513,40.93882770404299,13
4872093,935375,73,1,373,84.93839909893876,14
18838945,5253655,93,0,865,21.00167553167946,10
11111417,649867,99,0,633,37.285308084020684,11
5978047,1341205,93,1,380,19.077881699247126,2
1619043,201307,71,1,300,83.97548946228503,25
12218070,3434487,99,1,538,80.18714827047847,26
16851434,4933502,87,0,805,30.63533021721245,9
11095511,3174055,88,1,556,62.79872368273432,17
14512538,2446139,100,1,671,75.37777601609727,26
7603230,2018738,97,0,528,54.41606492795699,3
3058231,798618,97,1,306,52.37204626848052,24
7159908,929177,88,1,457,29.348183272036135,6
3580389,920979,86,0,407,17.44822142447194,5
2161909,128097,100,0,364,81.77726063626613,5
19933354,3968082,83,0,898,82.03344457306643,22
17387294,1869172,88,0,821,60.64811658186144,15
19192847,1538147,91,0,875,37.122383283896056,23
6814127,471798,93,0,504,37.93676596901287,17
10292712,2306310,82,0,608,68.07645430961915,9
2508187,338526,81,0,375,81.76882079620617,3
2159066,499158,99,0,364,80.96691394120938,20
2648815,175719,95,1,300,72.3900436686099,26
7855740,1011996,75,1,407,61.36253169234302,17
6904003,1276362,90,0,507,16.731197199603905,29
4635314,1148078,100,1,300,22.9302971275691,27
1410681,182948,73,0,342,81.88433508216634,10
18884834,3899205,88,0,866,58.514324772767196,3
10921958,2965250,85,0,627,10.735764129330372,18
11200595,2284538,82,0,636,18.11772342928257,18
13484808,1459593,73,1,641,63.08014152864446,30
15264960,856367,99,1,572,10.404926707697495,17
17348511,4641155,92,0,820,22.86464411339989,24
9632582,532848,86,0,588,53.89870314932689,3
8113287,2179840,92,0,543,65.35161581541546,3
16885802,3077172,70,0,806,62.156900760208046,6
4112600,1171132,87,0,423,27.941544756844785,13
18103032,4520251,100,0,843,66.97433770780287,24
12605878,3775252,89,1,535,28.979926999744006,29
10745534,1479423,86,1,480,36.03197585274142,15
10547453,2550343,96,0,616,69.71931240944193,25
2526793,380238,97,1,300,61.97063192377718,9
1054594,179248,96,0,331,77.93787283953424,4
9036326,1869402,84,0,571,62.60903138402747,14
16537627,4439017,80,0,796,55.464688266837726,5
13728175,4063826,94,0,711,17.493981426247398,2
2704664,654713,97,1,300,39.41726424475468,11
4841747,747767,91,0,445,31.216189414538036,9
13456528,2090326,82,0,703,29.519171470326686,24
17964192,4210727,70,0,838,87.84084438019565,3
19749405,2166396,86,0,892,41.44781797334083,27
15987428,1240920,75,1,600,81.36372441416907,28
9006404,1248787,73,0,570,60.49109007978103,29
1741082,212080,89,0,352,73.58490428333187,9
5684502,705316,85,0,470,50.21096744841537,3
13781288,1493918,84,0,713,56.15231077010873,25
13003247,786999,96,0,690,49.401415505509114,2
18856375,1027078,84,0,865,25.61943902384356,12
6541495,1942370,75,0,496,67.79616922092043,10
18069187,2835837,84,1,645,32.46178899526846,9
1001157,146250,83,1,300,11.945277314516307,15
11502109,2529449,97,1,545,61.63778367257343,8
6446594,674078,80,0,493,24.168854352563915,25
11810552,3395419,76,0,654,85.23668674823314,5
11971761,2952071,78,0,659,86.31428616020699,11
3404941,246356,95,1,300,83.18915121763588,27
8483441,1309802,85,0,554,39.61269602043555,2
5820385,1570221,74,0,474,11.236529322309394,24
19377237,5545435,94,0,881,84.26548500701803,28
13864386,2313278,89,0,715,44.254731865385146,15
15634415,3179302,98,0,769,87.33238552349357,6
10249436,940472,79,0,607,87.08959816714022,8
17895683,5329194,87,1,769,78.24075643738881,27
5833152,629501,72,0,474,33.55591136556686,5
11024227,3149433,82,0,630,40.807818288154024,16
12844096,2728235,80,0,685,78.09093372134855,26
7828141,1580769,86,0,534,35.35376041250221,18
18985139,3382622,99,0,869,23.5594197348874,6
5634207,606620,99,1,416,54.544100996668014,5
9016999,848788,91,0,570,84.89238193286248,28
9905634,1041295,82,1,466,65.68238373399784,16
6353584,613816,75,0,490,55.604893607149194,13
14988191,3670549,86,0,749,17.77411950166148,28
15436751,2123036,96,1,682,59.20057813593358,5
4801754,309524,82,0,444,89.20430800834106,13
2769042,809323,88,0,383,21.20672121892192,17
15618805,4231860,90,0,768,51.46637218909894,18
2483509,700195,88,0,374,80.18984575423643,8
8240141,2461552,79,1,436,69.26148942033635,13
17393597,1625845,72,0,821,65.76125927962144,30
18798917,2802176,83,1,727,66.19872671896874,29
10508805,2517485,95,1,452,38.75929209758041,19
11120268,2490997,88,0,633,33.487347541159465,26
10666834,943737,74,1,515,74.74889243828109,3
6605525,1677527,98,0,498,74.80907157433447,24
11826237,1254883,74,1,592,79.3657854864083,8
19734400,2090946,89,0,892,83.05924420451771,2
1918175,353411,86,0,357,50.90739190887503,8
16059675,3183589,90,0,781,50.12130357497597,27
16400476,3198446,79,0,792,73.86361431734201,13
7765795,565906,74,0,532,61.99711446222121,13
4272962,1150987,73,1,349,66.15735018061628,1
13080031,1522515,75,0,692,73.66341355488808,6
10649035,877253,95,0,619,81.2004273454053,24
13207035,3594783,73,1,580,37.03961254812286,19
5630397,1626694,99,0,468,40.04663621119552,16
3951356,1049211,76,1,300,17.51855518726952,8
3944084,995404,76,1,300,56.26241127969392,28
3427109,732751,87,1,346,12.875381903739367,1
13261186,2489314,72,1,608,47.24784145059681,27
11775612,844861,70,0,653,53.411570776606126,27
9003902,1369613,93,0,570,32.92330017026275,16
12021122,1721089,94,1,562,57.26666084552086,9
16688091,1918103,73,0,800,12.440019995123954,13
6714624,1550104,75,0,501,12.987855099937153,11
4835868,841290,78,0,445,75.80804485277267,13
10314996,724747,91,1,531,38.81525131290103,25
15150271,1591472,83,0,754,20.16484101215078,21
12740032,2813186,97,0,682,51.77946080438435,10
19492383,1345612,81,0,884,71.59948424788887,4
4386402,1152754,97,0,431,27.265682199747452,27
9578552,1664624,94,0,587,59.83123806552002,6
17965321,3056739,100,0,838,16.82779719950144,28
2489173,493110,89,0,374,14.134537693488616,7
3580761,917284,93,1,300,52.50837052545184,5
1914466,262190,94,0,357,53.25080972880852,11
945101,207453,73,1,300,60.99439211985653,13
15216695,2912977,90,1,683,68.08730669781292,26
18382750,2146315,99,0,851,88.06816635700277,25
12116410,3267280,93,0,663,51.30402786409562,19
10692257,2666183,81,0,620,35.836517835299674,23
10113273,2170439,79,1,494,73.61489558149628,10
7815360,2052668,99,0,534,31.666580100965938,10
16858792,4498322,91,0,805,45.11771365645089,11
998863,226832,97,0,329,16.276510507381275,21
19953404,5172986,76,0,898,12.0280594732366,30
9685687,2173156,72,0,590,87.01187317423401,7
15400027,3388547,92,0,762,76.87840964097647,18
15660825,3205032,97,1,622,65.67793648749584,4
7012440,1670217,83,0,510,42.71623555314159,2
12931395,1159316,93,0,687,23.86354560566766,14
6599628,1783336,79,0,497,22.514963413686885,13
7055968,1890723,85,1,340,30.019431853167625,29
3199015,183341,85,0,395,53.938133176489636,12
17222573,4416800,91,1,729,67.16767381600499,7
16840850,1384612,100,0,805,62.8157901374185,2
9337590,1249180,79,0,580,32.39471175567543,13
18449838,4351893,94,0,853,86.38922245305552,14
3003771,270910,82,0,390,69.03175333566148,27
3677825,935976,75,0,410,54.34832420091205,17
1496161,386059,81,0,344,58.93765969874818,9
4683839,828416,78,1,334,43.568004994223195,17
1166326,60178,82,0,334,29.818479160092597,8
1149150,139919,73,0,334,38.47781429210093,2
618834,126385,93,0,318,70.62768883714952,28
15885150,4690829,80,0,776,11.15147909038047,24
13367733,2779865,89,0,701,19.2858112405533,13
4922201,565811,87,0,447,13.68021136174022,3
1579600,329348,95,0,347,13.258304185517611,16
10327141,1910483,80,0,609,78.43684672088058,6
4003157,980618,94,0,420,66.29262875040189,19
9349851,717555,90,0,580,47.93390632698602,30
19262804,4628023,73,0,877,17.82673285208012,7
19029899,3526557,87,0,870,49.32927000934659,10
18281862,5315414,70,1,745,47.87774166244525,9
949395,128612,96,0,328,23.856149592801216,2
7254350,1510032,76,0,517,44.70813193903784,28
18537602,5246271,75,0,856,41.88037875178988,28
3879569,293401,100,1,300,59.26800784417732,15
3400603,966815,84,1,300,60.8074920694115,30
16209289,3597999,87,0,786,13.624320781763561,5
11855805,793855,93,1,485,39.9690091701177,29
9111474,1141129,80,0,573,60.06879325713891,22
2146711,487395,89,0,364,50.250900686407014,4
16963634,1133809,93,1,688,78.51918729506578,20
6819707,1333543,84,1,347,62.6954905295156,4
8467801,1155607,85,0,554,23.034754166514375,18
1923286,394713,76,0,357,15.645499792034387,4
4195961,257780,90,0,425,61.39354225650525,27
8717316,2335231,79,0,561,12.120904843329745,17
7848340,2302485,95,1,415,56.86204650187706,12
12302429,3595009,81,0,669,85.2184193139966,22
683062,162167,93,0,320,56.03793423007032,17
3341992,275786,83,0,400,41.05359409652175,10
4794539,1148607,94,0,443,61.463057475388254,22
12109076,679885,74,0,663,46.660231239321334,1
15558560,863980,95,0,766,53.6493431452748,22
6595929,863423,90,1,308,85.317184702122,26
5444505,937330,87,1,344,40.88821102406194,24
1303328,316189,74,0,339,86.89524510591313,27
1543233,340782,72,1,300,82.4280513564851,18
10600349,1711698,92,1,464,25.663290783143715,18
1029525,121902,95,1,300,15.548904070013236,14
16212815,4852189,74,0,786,18.062240110194132,15
14151544,2215358,93,0,724,11.457746052123978,29
17453831,2842299,86,0,823,17.555436860474273,12
7974447,724924,88,0,539,64.64054187330855,4
5101020,1268635,88,0,453,15.695091876818319,27
15626502,3491281,94,0,768,35.5180504235009,3
4199391,441744,90,0,425,77.59002487755636,20
10574901,746537,81,1,545,11.86175485886607,29
15432828,3397148,94,0,762,75.15747860711487,12
4112610,878567,98,0,423,32.548381981872,7
15692217,1856622,78,1,677,19.4531862097325,29
19441583,5593652,70,1,807,65.73897322913206,11
10792658,947211,87,1,548,60.31542774239072,1
644356,101862,90,1,300,80.19776108216423,6
13286773,3798741,73,0,698,68.80568350431086,15
2248014,348288,100,1,300,74.27847443078788,15
7656720,1605089,79,0,529,32.562765805704515,19
17242125,2575949,94,0,817,24.195163502377824,11
13161693,1560368,76,0,694,70.04918013126867,26
2788627,825418,91,0,383,74.54677914138112,23
15340260,2336835,92,0,760,89.24041136005387,26
7097519,1941347,70,0,512,43.00941415291412,2
18041337,1939238,86,1,695,39.761446863422655,14
10058356,1038788,93,0,601,72.11303685935974,2
11470723,662818,98,0,644,37.264283220241424,29
6198848,1319838,98,1,398,84.46058604828518,4
16547357,2351902,71,0,796,78.67302014744095,17
18384893,4892028,97,0,851,44.319522190001464,3
6238852,1050014,95,0,487,70.06968542331978,13
788790,230364,80,0,323,70.36342992677459,9
5584921,538282,78,0,467,18.24990950687461,7
16963605,4531925,76,1,672,82.20423253436533,15
10297444,2514112,91,0,608,50.42018979582857,23
17112451,4153713,86,0,813,76.11659728861933,29
13733331,3587088,86,1,591,35.603968082448944,29
4193305,1007466,71,1,373,81.64185827969604,11
16601010,3429022,75,0,798,41.13613429873305,20
13970137,1156884,83,0,719,10.867012118423869,2
4966271,288697,75,0,448,82.4305581135411,15
1852695,519147,71,0,355,17.302934142890685,14
10995300,2244828,70,0,629,35.54509100723319,20
18866444,4700278,79,0,865,86.0049573640644,22
1600567,272705,90,1,300,86.04857175500449,11
8206358,650986,74,0,546,55.87503104986289,27
13701904,1113916,71,0,711,60.54697697358394,3
549115,121569,91,0,316,45.87564175826558,17
15923647,2509192,85,0,777,33.456861735845166,30
12226298,1224233,94,0,666,36.29316362959328,12
17998963,3111996,71,0,839,63.801476486163075,24
13619138,899574,79,1,588,70.1899623550144,28
11938459,2333883,71,0,658,73.32632349806788,29
15533888,1821322,85,0,766,73.16945142356431,21
1904330,474920,85,0,357,17.29648824389523,15
17528708,2236496,88,0,825,49.553624376206514,16
4535851,742995,98,0,436,14.604700801331543,5
14631010,774055,76,0,738,53.96231058589884,27
991072,67503,91,0,329,45.32244010987016,20
1586880,235054,81,0,347,81.01633462066398,6
13587911,2309737,93,1,617,38.07320100416629,19
15787338,3157548,84,1,692,19.36536131420847,25
2555723,314138,77,1,312,21.43933456422687,5
2748988,615073,75,1,300,70.92085053739778,3
16183595,4289147,97,0,785,59.45744506530089,27
10202701,2499281,96,1,493,18.08981408982322,1
11653281,698086,79,0,649,16.728544489199795,26
3476242,591401,72,1,300,66.0775305167296,28
5080081,387267,88,1,367,15.821040509135482,6
14756162,1630721,100,1,579,75.7488047432285,15
3148790,934137,86,1,332,66.4993781725197,2
4263024,365016,76,0,427,16.50790245135198,29
11598716,2026551,90,0,647,16.787017126815353,3
5333177,1090842,89,0,459,88.93116628009403,17
8772841,1979295,95,0,563,39.941663660489624,25
8954561,1700580,100,0,568,39.65137176535127,24
12878226,675369,73,0,686,75.0239653806002,12
3097480,407675,83,1,300,85.7798861907087,18
17035430,3056631,89,0,811,88.88008510582966,15
4697571,338068,91,1,303,70.27025482071534,12
6618900,911136,84,1,339,40.10076684247326,16
17434380,1016437,93,1,654,16.6800573358935,27
11117244,774256,77,1,487,72.17175327419494,8
1031831,153980,90,0,330,54.6723399788644,28
3489475,290250,84,1,300,43.937760739758104,14
17179640,3296518,91,1,636,82.50835080757888,25
3869720,860495,89,0,416,18.895798584492105,17
5211075,1303533,97,0,456,49.41000834326873,29
7354500,735726,83,1,409,10.908291581393526,21
3140328,288503,96,0,394,47.4928513595301,8
9722335,740277,98,0,591,14.504262054546988,15
12052291,2520225,78,0,661,19.505433301445755,27
570640,129317,77,0,317,19.40209974216839,14
13279494,768836,95,0,698,61.93682416928509,18
10889599,3093223,97,1,527,69.68359034123387,20
5094877,320940,95,0,452,56.66950120777277,7
18632747,3453096,86,0,858,86.97380387796335,3
1175510,267152,100,0,335,39.98964636189633,29
4241196,1135547,71,0,427,32.85696690254886,12
17083522,3903956,94,1,617,79.48793025515683,21
7206024,1804619,93,0,516,27.88766708155621,24
12220477,1648084,99,0,666,87.0578031552489,28
18175536,4611247,72,0,845,10.972357975185307,26
13717648,960629,77,0,711,87.59030613661112,3
19284851,5278344,81,1,787,13.452792956046089,20
3764908,703654,70,1,300,81.29144909584569,14
13492907,3431576,79,0,704,52.21608872690399,15
15073458,2458173,89,0,752,89.43718368954403,25
14856744,3133204,72,0,745,15.903725178831909,30
16287803,2957875,75,0,788,54.30834275210566,14
13923442,3242733,76,0,717,87.54420284952792,7
4099865,288661,89,0,422,51.847827533611905,17
13956244,908384,92,0,718,60.351891050821,30
18316674,2047361,94,0,849,65.65989511876937,12
4272811,384066,96,1,300,46.36328518142186,20
2817336,754893,87,1,300,60.204646406725075,4
3263642,342041,80,0,397,56.74514495384802,9
8189684,2407491,88,1,389,82.09264083927911,6
10698499,1435994,74,0,620,13.63571042731663,16
4288340,409662,88,0,428,32.477055167378424,25
11308470,2797993,80,1,511,86.0329187261247,28
697775,149796,93,1,300,81.2211027112733,22
2886488,503833,81,1,318,46.45254022285704,22
18064710,3411355,79,0,841,59.61060782412294,21
5832660,1340347,77,0,474,32.19049463849061,21
10089801,1080755,93,1,461,25.049692777900905,2
12831942,3837821,97,0,684,47.09587239519857,24
16579245,4869295,97,0,797,38.268178242084225,8
11898366,2529371,78,0,656,56.692488948069766,11
5583769,557738,73,0,467,16.218770957198785,13
17810852,3919403,74,0,834,87.95158461329332,17
11926978,811626,90,0,657,88.89685955836823,8
12124266,699123,77,1,551,65.85293712157961,21
10664811,1220275,92,0,619,52.88770930752963,18
2776360,459919,78,0,383,34.76220930290622,30
16383337,4375467,84,0,791,75.10360157655589,18
4908249,1137694,84,0,447,64.77849380431034,14
4926219,1160994,85,0,447,23.009355147591304,15
11423237,1786289,83,0,642,82.8741747595074,6
18609613,2539909,77,1,709,75.80297943385352,11
16934343,2417541,87,0,808,85.98399306335392,13
11024841,3273411,79,1,463,68.0575606710688,25
7146705,428997,97,0,514,59.07321567486319,1
5962810,1590626,89,0,478,43.45944290324951,28
13888409,2703640,75,0,716,84.61827866832107,6
14346020,2290397,81,0,730,79.28511116003267,9
10226290,2365488,71,1,413,13.617493608495153,8
14159783,2430770,76,0,724,12.10935795978016,11
16664204,4471935,85,0,799,40.117069350243966,22
15337568,4220522,72,1,582,74.84426646254663,19
1786643,277698,82,1,300,88.98209034519556,24
10422192,1242397,72,1,538,22.033351288282255,9
8815390,1746219,96,0,564,57.53045722817081,17
6700646,1863388,87,1,334,40.47126853048172,12
7483896,768338,80,0,524,87.59315182516826,25
15009187,3088014,77,0,750,77.36951385085669,14
5909861,1228601,75,0,477,77.06629637689103,15
16431836,3833190,70,0,792,47.49545278359762,16
13331595,1105081,97,0,699,43.185560187013216,22
16463317,3769379,70,0,793,31.8725657544565,22
8915398,2471866,92,1,447,14.51003973207417,28
10580346,1004294,77,0,617,79.17779010040425,20
948345,103735,74,0,328,75.03208073040621,1
9637682,2822383,97,0,589,89.97741386289044,10
8327494,793145,85,1,422,89.73094696591244,8
2379490,627224,80,0,371,54.434536448210196,18
16314828,2823598,74,0,789,71.51899321444084,28
15709100,1756399,73,1,677,85.58125839059424,1
5484445,1468117,99,1,352,77.97179125419292,2
7439705,1200220,75,0,523,29.78784813945581,1
7502587,1340744,83,0,525,46.04353082480748,1
7242471,1012557,91,1,326,20.3327532121196,9
1954908,387536,88,0,358,86.32408218069779,13
11142302,1012623,78,0,634,58.493970756070404,30
3819144,564356,81,1,316,28.29142444027702,1
9193670,2687797,80,0,575,63.73605475246854,13
17067296,1954774,83,0,812,59.450259236631666,20
6306466,1350745,92,0,489,38.65301744262724,26
13949563,1831542,85,0,718,19.08460737597032,22
5804509,1412633,70,0,474,63.72585564742397,7
8168216,675661,100,1,398,51.62461607230347,2
5449499,1593734,82,0,463,71.78547133885115,6
19664528,3214115,92,0,889,51.61308008895947,7
6562903,715439,90,0,496,78.1745200254832,26
10314149,705221,90,0,609,54.152547101958845,14
19148619,1770088,99,1,738,54.8750377228309,26
6247372,1124173,82,0,487,80.1322882126676,18
5348287,718011,71,0,460,42.27862929699177,15
6158796,1584170,73,0,484,20.72121827605126,2
18098268,2854492,97,0,842,12.302614105067118,10
10695758,1199834,75,0,620,70.41098045388952,23
2725300,556741,95,1,300,59.624764108277176,12
19132783,4337292,100,1,740,66.32638144793788,17
18812053,1726202,96,0,864,27.037132920712857,8
12389876,1138689,92,0,671,20.90971804694158,11
3838442,227112,96,1,300,11.163573253430554,29
15463940,3620116,74,1,702,38.04700470452776,3
13342659,2881362,94,0,700,57.193414948370645,27
923570,155767,72,0,327,41.379523607978584,6
2873139,750011,70,0,386,44.99799376189833,9
9746766,2450507,73,1,465,82.33269555949987,6
19392008,3807399,94,1,816,37.86043736186403,9
2373421,633864,89,0,371,51.119159132784866,7
6581950,667806,71,0,497,72.69224101929144,9
16150304,1259399,95,1,601,41.72342258570161,18
11486868,1348987,99,1,495,59.76693601822988,12
7425877,477273,99,1,451,78.98909669973962,8
6467106,1182137,74,1,427,85.96164989261138,8
12184495,3462241,72,0,665,21.765878474323035,18
12206838,730406,98,0,666,84.12701001291956,28
5618922,452477,97,0,468,49.369303446363055,30
14142511,2305932,98,0,724,30.659551063916666,20
17236613,4886041,78,0,817,46.7308604990609,30
11373803,1467664,89,1,544,88.40260602283817,15
13149115,2324877,75,0,694,49.40944751942957,27
17437991,1053136,87,1,768,36.300128823000655,7
3167867,275876,75,0,395,60.67206834533806,11
12358009,3666096,88,1,568,29.211649502255447,20
8186841,2384660,97,0,545,16.06906624869311,16
12664411,648861,81,0,679,20.310377752851938,4
